City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
634,Aljezur,PT,47.07,clear sky,37.3191,-8.8033,Amazigh Hostel
635,Tabas,IR,55.71,scattered clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
636,Ferrol,ES,53.28,overcast clouds,43.4832,-8.2369,Parador de Ferrol
641,Bruhl,DE,40.1,broken clouds,50.8293,6.905,H+ Hotel Köln Brühl
642,Najran,SA,59.23,clear sky,17.4924,44.1277,محمد هادي ال فطيح
643,Banyo,CM,65.19,clear sky,6.75,11.8167,Motel JOMBA
656,Sao Joao Do Paraiso,BR,62.11,scattered clouds,-15.3136,-42.0144,Avenida Palace Hotel
658,Tabora,TZ,65.34,light rain,-5.0167,32.8,Barcelona Lodge
661,Mahemdavad,IN,64.65,clear sky,22.8333,72.7667,Shalvi Infracon pvt ltd Grass court Greens
665,Tongchuan,CN,48.24,scattered clouds,35.0806,109.0897,Tongchuan Hotel
670,Teguise,ES,59.22,overcast clouds,29.0605,-13.564,B&B La Casona de Nazaret
677,Bowling Green,US,40.64,overcast clouds,36.9903,-86.4436,Hilton Garden Inn Bowling Green
678,Semnan,IR,48.07,overcast clouds,35.5729,53.3971,Semnan Tourist Hotel
680,Yambio,SS,69.31,clear sky,4.5721,28.3955,Naivasha Hotel
681,Hualmay,PE,65.98,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
683,Ulladulla,AU,61.88,light rain,-35.35,150.4667,Sandpiper Motel
688,Biasca,CH,46.51,overcast clouds,46.3597,8.9697,Al Giardinetto
689,San Jeronimo,PE,52.79,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
691,Coquimbo,CL,58.73,overcast clouds,-29.9533,-71.3436,Punto de encuentro
703,Mutare,ZW,60.19,overcast clouds,-18.9707,32.6709,Ann Bruce Backpackers
704,Havre,FR,44.37,broken clouds,49.5833,0.3333,gite bois jourdain
