City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Loa Janan,ID,-0.583,117.095,85.6,69,95,4.23,overcast clouds
245,Nuuk,GL,64.1835,-51.7216,21.24,81,100,9.13,overcast clouds
246,Teahupoo,PF,-17.8333,-149.2667,82.36,70,8,17.29,clear sky
247,Bokovskaya,RU,49.229,41.8306,26.35,76,3,6.91,clear sky
248,Muroto,JP,33.2833,134.15,59.04,54,2,7.52,clear sky
249,Big Spring,US,32.2504,-101.4787,47.68,36,1,1.01,clear sky
250,Lompoc,US,34.6391,-120.4579,61.79,81,1,8.05,clear sky
251,Jacqueville,CI,5.2052,-4.4146,84.11,78,16,10.63,light rain
252,Sassandra,CI,4.95,-6.0833,78.22,88,44,5.77,light rain
253,Alyangula,AU,-13.8483,136.4192,73.27,100,90,12.66,thunderstorm with heavy rain
254,Shellbrook,CA,53.2168,-106.4011,15.03,97,100,5.06,overcast clouds
255,Alofi,NU,-19.0595,-169.9187,78.69,89,75,10.36,broken clouds
256,Oussouye,SN,12.485,-16.5469,78.98,84,99,6.35,overcast clouds
257,Miri,MY,4.4148,114.0089,84.34,70,20,5.75,few clouds
258,Pevek,RU,69.7008,170.3133,-16.53,100,100,3.22,overcast clouds
259,Mehamn,NO,71.0357,27.8492,18.48,76,100,9.1,overcast clouds
260,Riverton,US,40.5219,-111.9391,42.17,61,1,1.01,clear sky
261,Sunyani,GH,7.3399,-2.3268,71.31,85,4,4.34,clear sky
262,Pozo Colorado,PY,-23.4923,-58.7972,83.7,57,48,4.23,scattered clouds
263,Berlevag,NO,70.8578,29.0864,21.18,77,100,10.71,overcast clouds
264,Prince Albert,CA,53.2001,-105.7677,15.75,86,90,2.3,overcast clouds
265,Sesimbra,PT,38.4445,-9.1015,50.95,81,3,7.16,clear sky
266,East London,ZA,-33.0153,27.9116,62.76,81,100,15.26,overcast clouds
267,Fereydun Kenar,IR,36.6864,52.5225,55.31,80,91,2.53,overcast clouds
268,Khatanga,RU,71.9667,102.5,-10.86,99,100,4.05,overcast clouds
269,Dabat,ET,12.9842,37.765,52.38,60,1,7.4,clear sky
270,Kirakira,SB,-10.4544,161.9205,83.64,78,89,5.1,overcast clouds
271,Esperance,AU,-33.8667,121.9,66.04,56,0,8.03,clear sky
272,Sobolevo,RU,54.4299,31.8996,29.59,85,28,16.96,scattered clouds
273,Prilep,MK,41.3464,21.5544,41.47,90,100,2.93,overcast clouds
274,Kampene,CD,-3.6,26.6667,67.62,99,100,1.88,overcast clouds
275,Mangai,CD,-4.05,19.5333,67.87,98,91,1.61,overcast clouds
276,Buala,SB,-8.145,159.5921,84.7,69,36,2.13,moderate rain
277,Kaeo,NZ,-35.1,173.7833,67.46,65,42,7.07,scattered clouds
278,Fortuna,US,40.5982,-124.1573,53.37,73,1,1.01,clear sky
279,Flinders,AU,-34.5833,150.8552,65.8,91,100,5.99,light rain
280,Smidovich,RU,48.6,133.8167,17.82,88,100,5.03,overcast clouds
281,Iglesias,IT,39.3114,8.535,51.22,79,94,15.82,overcast clouds
282,Wana,PK,32.2989,69.5725,48.88,38,3,5.12,clear sky
283,Kayerkan,RU,69.3497,87.7602,-3.41,95,100,5.32,overcast clouds
284,Pandavapura,IN,12.5006,76.6733,67.69,93,60,7.96,broken clouds
285,Nemuro,JP,43.3236,145.575,37.83,53,4,20.92,clear sky
286,Cristalina,BR,-16.7686,-47.6136,69.28,61,80,6.29,broken clouds
287,Vestmannaeyjar,IS,63.4427,-20.2734,30.34,67,0,27.47,clear sky
288,Marawi,PH,7.9986,124.2928,73.65,71,100,2.59,overcast clouds
289,Simao,CN,22.7886,100.9748,61.18,88,51,1.48,broken clouds
